Time,Target,Verdict,Score,Type
18:36:20,85.175.219.236,SUSPICIOUS,50,IP
18:36:31,85.175.219.236,SUSPICIOUS,50,IP
18:36:43,192.168.15.1,CLEAN,0,IP
18:36:50,192.168.15.1,CLEAN,0,IP
18:39:25,192.168.15.1,CLEAN,0,IP
18:41:40,192.168.15.1,CLEAN,0,IP
18:47:18,http://123.133.211.66:58350/bin.sh,CLEAN,0,URL
18:49:52,http://123.133.211.66:58350/bin.sh,CLEAN,0,URL
18:52:42,192.168.15.1,CLEAN,0,IP
18:52:56,http://123.133.211.66:58350/bin.sh,CLEAN,0,URL
18:53:36,85.175.219.236,CLEAN,0,URL
11:30:31,85.175.219.236,SUSPICIOUS,50,IP
12:44:54,https://netmirror.gg/2/en,CLEAN,0,URL
11:55:17,185.220.101.1,SUSPICIOUS,50,IP
13:16:03,185.220.101.1,SUSPICIOUS,50,IP
